ticker,corp_name,유동비율,유동비율_순위,유동비율_하위(%),부채비율,부채비율_순위,부채비율_하위(%)
071670,에이테크솔루션,97.744,1934.0,77.41,219.054,286.0,11.16
045660,에이텍,99.918,1908.0,76.37,63.813,1315.0,51.47
224110,에이텍모빌리티,159.018,1312.0,52.5,49.796,1520.0,59.5
021080,에이티넘인베스트,246.509,833.0,33.32,18.735,2164.0,84.72
200470,에이팩트,30.667,2452.0,98.16,194.169,350.0,13.67
262260,에이프로,90.505,2009.0,80.42,467.53,99.0,3.84
007460,에이프로젠,118.907,1704.0,68.2,38.601,1718.0,67.25
003060,에이프로젠바이오로직스,78.097,2159.0,86.42,56.06,1423.0,55.7
397030,에이프릴바이오,1139.164,117.0,4.65,9.464,2399.0,93.93
244920,에이플러스에셋,213.477,963.0,38.53,96.607,909.0,35.57
278470,에이피알,197.074,1043.0,41.73,74.684,1183.0,46.3
230240,에치에프알,168.396,1217.0,48.7,70.694,1231.0,48.18
159910,에코글로우,161.21,1291.0,51.66,84.803,1033.0,40.42
230360,에코마케팅,283.38,719.0,28.75,42.948,1631.0,63.85
038870,에코바이오,58.083,2335.0,93.47,45.227,1587.0,62.12
097780,에코볼트,293.704,696.0,27.83,24.123,2016.0,78.93
448280,에코아이,1331.943,92.0,3.64,16.603,2207.0,86.41
101360,에코앤드림,90.601,2007.0,80.34,83.069,1059.0,41.44
128540,에코캡,166.094,1240.0,49.62,75.618,1169.0,45.75
086520,에코프로,121.504,1676.0,67.08,112.019,782.0,30.59
450080,에코프로머티,99.525,1914.0,76.61,74.922,1178.0,46.1
247540,에코프로비엠,106.228,1834.0,73.41,118.696,722.0,28.24
383310,에코프로에이치엔,309.168,656.0,26.23,57.507,1399.0,54.76
038110,에코플라스틱,64.56,2281.0,91.31,472.633,98.0,3.8
073540,에프알텍,375.858,537.0,21.47,19.879,2128.0,83.31
064850,에프앤가이드,186.158,1102.0,44.09,37.631,1737.0,68.0
036810,에프에스티,90.259,2012.0,80.54,107.321,818.0,32.0
173940,에프엔씨엔터,101.623,1896.0,75.89,284.165,184.0,7.17
083500,에프엔에스테크,180.577,1127.0,45.09,66.387,1279.0,50.06
054940,엑사이엔씨,132.702,1544.0,61.79,102.434,861.0,33.69
950130,엑세스바이오,1238.12,109.0,4.33,13.557,2291.0,89.7
373110,엑셀세라퓨틱스,214.238,958.0,38.33,85.172,1030.0,40.31
205100,엑셈,527.372,332.0,13.26,11.8,2336.0,91.46
356680,엑스게이트,213.638,961.0,38.45,51.081,1491.0,58.36
070300,엑스큐어,458.617,412.0,16.46,15.938,2226.0,87.15
317770,엑스페릭스,92.823,1989.0,79.62,65.647,1289.0,50.45
373200,엑스플러스,14.567,2487.0,99.56,139.598,589.0,23.03
069920,엑시온그룹,221.191,934.0,37.36,29.155,1897.0,74.27
092870,엑시콘,594.455,293.0,11.69,7.899,2440.0,95.53
019490,엑시큐어하이트론,141.965,1463.0,58.55,134.663,622.0,24.32
317870,엔바이오니아,120.337,1688.0,67.56,42.452,1642.0,64.28
067570,엔브이에이치코리아,82.875,2113.0,84.58,286.497,181.0,7.05
236810,엔비티,120.311,1689.0,67.6,173.314,415.0,16.22
333620,엔시스,182.647,1118.0,44.73,53.807,1459.0,57.11
101400,엔시트론,395.654,499.0,19.94,23.656,2024.0,79.24
036570,엔씨소프트,555.123,316.0,12.62,29.062,1899.0,74.34
078860,엔에스이엔엠,201.997,1016.0,40.65,23.651,2025.0,79.28
181710,엔에이치엔,161.516,1286.0,51.46,80.871,1095.0,42.85
265740,엔에프씨,185.596,1104.0,44.17,33.313,1824.0,71.41
354200,엔젠바이오,93.196,1982.0,79.34,86.065,1019.0,39.87
455900,엔젤로보틱스,3021.756,11.0,0.4,8.798,2423.0,94.87
419080,엔젯,1848.648,42.0,1.64,13.122,2304.0,90.21
208860,엔지스테크널러지,242.348,855.0,34.2,13.284,2299.0,90.01
183490,엔지켐생명과학,1303.141,97.0,3.84,12.547,2318.0,90.76
085310,엔케이,446.806,429.0,17.14,24.084,2018.0,79.01
182400,엔케이맥스,22.47,2470.0,98.88,-200.096,2546.0,99.69
